runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
3500,-0.7399270234375,-0.7435259218749999,0.016322130206760318,-0.759526125,-0.7590348515625002,-0.7582160625000003,-0.7520100117187498,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3600,-0.7399270234375,-0.7435259218749999,0.016322130206760318,-0.759526125,-0.7590348515625002,-0.7582160625000003,-0.7520100117187498,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3700,-0.74044706875,-0.7435259218749999,0.016649491437960923,-0.759526125,-0.7590348515625002,-0.7582160625000003,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3800,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3900,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4000,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4100,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4200,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4300,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4400,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4500,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4600,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4700,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4800,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
4900,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
