id,runtime,score
3,3700,-191
3,3800,-191
3,3900,-191
3,4000,-191
3,4100,-191
3,4200,-191
3,4300,-191
3,4400,-191
3,4500,-191
3,4600,-191
3,4700,-191
3,4800,-191
3,4900,-191
3,5000,-191
3,5100,-191
3,5200,-191
3,5300,-191
3,5400,-191
3,5500,-191
3,5600,-191
3,5700,-191
3,5800,-191
3,5900,-191
3,6000,-191
3,6100,-191
3,6200,-191
3,6300,-191
3,6400,-191
3,6500,-191
3,6600,-191
3,6700,-191
3,6800,-191
3,6900,-191
3,7000,-191
3,7100,-191
3,7200,-191
3,7300,-191
3,7400,-191
3,7500,-191
3,7600,-191
3,7700,-191
3,7800,-191
3,7900,-191
3,8000,-191
3,8100,-191
3,8200,-191
3,8300,-191
3,8400,-201
3,8500,-201
3,8600,-201
3,8700,-201
3,8800,-201
3,8900,-201
3,9000,-201
3,9100,-201
3,9200,-201
3,9300,-201
3,9400,-201
3,9500,-201
3,9600,-201
3,9700,-201
3,9800,-201
3,9900,-201
3,10000,-201
4,100,-68
4,200,-72
4,300,-82
4,400,-84
4,500,-132
4,600,-132
4,700,-132
4,800,-136
4,900,-154
4,1000,-168
4,1100,-168
4,1200,-170
4,1300,-170
4,1400,-176
4,1500,-180
4,1600,-184
4,1700,-184
4,1800,-186
4,1900,-186
4,2000,-186
4,2100,-186
4,2200,-186
4,2300,-186
4,2400,-186
4,2500,-188
4,2600,-188
4,2700,-188
4,2800,-188
4,2900,-188
4,3000,-188
4,3100,-188
4,3200,-188
4,3300,-188
4,3400,-188
4,3500,-188
4,3600,-188
4,3700,-188
4,3800,-194
4,3900,-194
4,4000,-194
4,4100,-194
4,4200,-194
4,4300,-194
4,4400,-194
4,4500,-194
4,4600,-194
4,4700,-194
4,4800,-194
4,4900,-194
4,5000,-194
4,5100,-194
4,5200,-194
4,5300,-194
4,5400,-194
4,5500,-194
4,5600,-194
4,5700,-194
4,5800,-194
4,5900,-194
4,6000,-194
4,6100,-194
4,6200,-194
4,6300,-194
4,6400,-194
4,6500,-194
4,6600,-194
4,6700,-194
4,6800,-194
4,6900,-194
4,7000,-194
